time,strategy,exchange,identifier,symbol,side,type,status,price,filled_quantity,multiplier,trade_cost,trade_slippage,time_in_force,asset.right,asset.strike,asset.multiplier,asset.expiration,asset.asset_type,price_source,event_kind,event_id,cash_event_type,cash_event_amount,cash_event_currency,cash_event_description,cash_event_direction,cash_event_reason,is_external_cash_flow,cash_event_raw_type,cash_event_raw_subtype,cash_event_broker_name,cash_event_broker_event_id
2025-08-01 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_17,META,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-01 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_18,AMD,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-01 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_19,GOOGL,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-01 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_20,NVDA,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-01 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_15,MSFT,buy,market,fill,535.0,24.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-01 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_16,AMZN,buy,market,fill,217.2100067138672,57.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-01 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_17,META,buy,market,fill,760.72998046875,17.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-01 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_18,AMD,buy,market,fill,170.16000366210938,74.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-01 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_19,GOOGL,buy,market,fill,189.02999877929688,69.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-01 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_20,NVDA,buy,market,fill,174.08999633789062,73.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-04 09:30:00-04:00,StockPulse Momentum+Catalyst,,f7f6795383c4456fa9eaa5c7c22442f4,MSFT,sell,market,new,,,1,,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-04 09:30:00-04:00,StockPulse Momentum+Catalyst,,678eed3a228244afbd64d810af509972,AMZN,sell,market,new,,,1,,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-04 09:30:00-04:00,StockPulse Momentum+Catalyst,,9a5d839c67344c3a9533a12f4cd5535a,META,sell,market,new,,,1,,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-04 09:30:00-04:00,StockPulse Momentum+Catalyst,,f6571d93495b4ee7994acaab34c08966,AMD,sell,market,new,,,1,,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-04 09:30:00-04:00,StockPulse Momentum+Catalyst,,e6f540b7e1804d7eb04f032452d9fdf6,GOOGL,sell,market,new,,,1,,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-04 09:30:00-04:00,StockPulse Momentum+Catalyst,,c3957417633f4a0aa1f9a50f9cbce042,NVDA,sell,market,new,,,1,,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-04 09:30:00-04:00,StockPulse Momentum+Catalyst,,f7f6795383c4456fa9eaa5c7c22442f4,MSFT,sell,market,fill,528.27001953125,24.0,1,0.0,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-04 09:30:00-04:00,StockPulse Momentum+Catalyst,,678eed3a228244afbd64d810af509972,AMZN,sell,market,fill,217.39999389648438,57.0,1,0.0,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-04 09:30:00-04:00,StockPulse Momentum+Catalyst,,9a5d839c67344c3a9533a12f4cd5535a,META,sell,market,fill,760.0,17.0,1,0.0,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-04 09:30:00-04:00,StockPulse Momentum+Catalyst,,f6571d93495b4ee7994acaab34c08966,AMD,sell,market,fill,174.61000061035156,74.0,1,0.0,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-04 09:30:00-04:00,StockPulse Momentum+Catalyst,,e6f540b7e1804d7eb04f032452d9fdf6,GOOGL,sell,market,fill,190.2899932861328,69.0,1,0.0,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-04 09:30:00-04:00,StockPulse Momentum+Catalyst,,c3957417633f4a0aa1f9a50f9cbce042,NVDA,sell,market,fill,175.16000366210938,73.0,1,0.0,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-05 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_21,MSFT,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-05 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_22,META,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-05 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_23,AMD,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-05 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_24,GOOGL,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-05 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_25,NVDA,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-05 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_21,MSFT,buy,market,fill,537.1799926757812,25.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-05 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_22,META,buy,market,fill,776.4500122070312,17.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-05 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_23,AMD,buy,market,fill,177.57000732421875,77.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-05 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_24,GOOGL,buy,market,fill,194.7100067138672,71.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-05 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_25,NVDA,buy,market,fill,179.6199951171875,77.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-07 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_26,AAPL,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-07 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_26,AAPL,buy,market,fill,218.8800048828125,65.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-11 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_27,TSLA,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-11 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_27,TSLA,buy,market,fill,335.0,40.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-15 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_28,AMZN,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-15 09:30:00-04:00,StockPulse Momentum+Catalyst,,bt_28,AMZN,buy,market,fill,232.5800018310547,56.0,1,0.0,0.0,gtc,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-19 09:30:00-04:00,StockPulse Momentum+Catalyst,,dbc0ba5846134323989c0cc059d938a0,MSFT,sell,market,new,,,1,,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
2025-08-19 09:30:00-04:00,StockPulse Momentum+Catalyst,,4909b5d1153f41c6b76e6c539028c2e5,META,sell,market,new,,,1,,0.0,day,,0.0,1,,stock,,trade,,,,,,,,,,,,
