time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost,trade_slippage,event_kind,event_id,cash_event_type,cash_event_amount,cash_event_currency,cash_event_description,cash_event_direction,cash_event_reason,is_external_cash_flow,cash_event_raw_type,cash_event_raw_subtype,cash_event_broker_name,cash_event_broker_event_id
2025-08-19 09:30:00-04:00,sell,fill,25.0,MSFT,stock,,0.0,,515.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-08-19 09:30:00-04:00,sell,fill,17.0,META,stock,,0.0,,767.1199951171875,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-08-19 09:30:00-04:00,sell,fill,77.0,AMD,stock,,0.0,,173.10000610351562,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-08-19 09:30:00-04:00,sell,fill,71.0,GOOGL,stock,,0.0,,203.02999877929688,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-08-19 09:30:00-04:00,sell,fill,77.0,NVDA,stock,,0.0,,182.42999267578125,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-08-19 09:30:00-04:00,sell,fill,65.0,AAPL,stock,,0.0,,231.27999877929688,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-08-19 09:30:00-04:00,sell,fill,40.0,TSLA,stock,,0.0,,335.7900085449219,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-08-19 09:30:00-04:00,sell,fill,56.0,AMZN,stock,,0.0,,230.08999633789062,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-08-20 09:30:00-04:00,buy,new,,AAPL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-08-20 09:30:00-04:00,buy,new,,AMZN,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-08-20 09:30:00-04:00,buy,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-08-20 09:30:00-04:00,buy,new,,GOOGL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-08-20 09:30:00-04:00,buy,fill,58.0,AAPL,stock,,0.0,,229.97999572753906,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-08-20 09:30:00-04:00,buy,fill,59.0,AMZN,stock,,0.0,,227.1199951171875,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-08-20 09:30:00-04:00,buy,fill,40.0,TSLA,stock,,0.0,,329.2200012207031,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-08-20 09:30:00-04:00,buy,fill,67.0,GOOGL,stock,,0.0,,200.72999572753906,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-08-22 09:30:00-04:00,sell,new,,AAPL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-08-22 09:30:00-04:00,sell,new,,AMZN,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-08-22 09:30:00-04:00,sell,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-08-22 09:30:00-04:00,sell,new,,GOOGL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-08-22 09:30:00-04:00,sell,canceled,,AAPL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-08-22 09:30:00-04:00,sell,canceled,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-08-22 09:30:00-04:00,sell,canceled,,AMZN,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-08-22 09:30:00-04:00,sell,canceled,,GOOGL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-08-22 09:30:00-04:00,sell,new,,AAPL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-08-22 09:30:00-04:00,sell,new,,AMZN,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-08-22 09:30:00-04:00,sell,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-08-22 09:30:00-04:00,sell,new,,GOOGL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-08-22 09:30:00-04:00,sell,fill,58.0,AAPL,stock,,0.0,,226.1699981689453,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-08-22 09:30:00-04:00,sell,fill,59.0,AMZN,stock,,0.0,,222.7899932861328,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-08-22 09:30:00-04:00,sell,fill,40.0,TSLA,stock,,0.0,,321.6600036621094,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-08-22 09:30:00-04:00,sell,fill,67.0,GOOGL,stock,,0.0,,202.72999572753906,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-08-25 09:30:00-04:00,buy,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-08-25 09:30:00-04:00,buy,new,,GOOGL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-08-25 09:30:00-04:00,buy,new,,AAPL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-08-25 09:30:00-04:00,buy,new,,AMZN,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-08-25 09:30:00-04:00,buy,fill,42.0,TSLA,stock,,0.0,,338.8999938964844,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-08-25 09:30:00-04:00,buy,fill,66.0,GOOGL,stock,,0.0,,206.42999267578125,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-08-25 09:30:00-04:00,buy,fill,59.0,AAPL,stock,,0.0,,226.47999572753906,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-08-25 09:30:00-04:00,buy,fill,60.0,AMZN,stock,,0.0,,227.35000610351562,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-09-03 09:30:00-04:00,sell,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-09-03 09:30:00-04:00,sell,new,,GOOGL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-09-03 09:30:00-04:00,sell,new,,AAPL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-09-03 09:30:00-04:00,sell,new,,AMZN,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-09-03 09:30:00-04:00,sell,fill,42.0,TSLA,stock,,0.0,,335.20001220703125,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-09-03 09:30:00-04:00,sell,fill,66.0,GOOGL,stock,,0.0,,226.2100067138672,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-09-03 09:30:00-04:00,sell,fill,59.0,AAPL,stock,,0.0,,237.2100067138672,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-09-03 09:30:00-04:00,sell,fill,60.0,AMZN,stock,,0.0,,225.2100067138672,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-09-04 09:30:00-04:00,buy,new,,GOOGL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-09-04 09:30:00-04:00,buy,new,,AAPL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-09-04 09:30:00-04:00,buy,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-09-04 09:30:00-04:00,buy,fill,60.0,GOOGL,stock,,0.0,,229.64999389648438,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-09-04 09:30:00-04:00,buy,fill,57.0,AAPL,stock,,0.0,,238.4499969482422,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-09-04 09:30:00-04:00,buy,fill,40.0,TSLA,stock,,0.0,,336.1499938964844,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-09-05 09:30:00-04:00,buy,new,,AMZN,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-09-05 09:30:00-04:00,buy,fill,59.0,AMZN,stock,,0.0,,235.19000244140625,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-09-10 09:30:00-04:00,buy,new,,META,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-09-10 09:30:00-04:00,buy,fill,18.0,META,stock,,0.0,,765.1300048828125,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-09-11 09:30:00-04:00,sell,new,,GOOGL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-09-11 09:30:00-04:00,sell,new,,AAPL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-09-11 09:30:00-04:00,sell,new,,TSLA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-09-11 09:30:00-04:00,sell,new,,AMZN,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-09-11 09:30:00-04:00,sell,new,,META,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2025-09-11 09:30:00-04:00,sell,fill,60.0,GOOGL,stock,,0.0,,239.8800048828125,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-09-11 09:30:00-04:00,sell,fill,57.0,AAPL,stock,,0.0,,226.8800048828125,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-09-11 09:30:00-04:00,sell,fill,40.0,TSLA,stock,,0.0,,350.1700134277344,market,1,0.0,0.0,trade,,,,,,,,,,,,
2025-09-11 09:30:00-04:00,sell,fill,59.0,AMZN,stock,,0.0,,231.49000549316406,market,1,0.0,0.0,trade,,,,,,,,,,,,
